state,num_transactions,total_amount_inr,avg_amount_inr,unique_investors
Punjab,2965,315780459.0,106503.0,441
Tamil Nadu,2806,315177237.0,112323.0,425
Madhya Pradesh,2931,308312493.0,105190.0,441
Rajasthan,2577,298645822.0,115889.0,413
Gujarat,2780,298358940.0,107323.0,433
West Bengal,2748,297182514.0,108145.0,422
Telangana,2718,290219284.0,106777.0,410
Delhi,2677,289633404.0,108193.0,421
Uttar Pradesh,2695,285368873.0,105888.0,422
Haryana,2736,279634354.0,102206.0,400
Karnataka,2621,273753570.0,104446.0,387
Maharashtra,2524,269513480.0,106780.0,385
