amfi_code,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,return_3yr_pct,sharpe_ratio,aum_crore
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,0.55,5.31,1.33,30030.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,0.56,7.37,1.84,27953.0
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,0.6,6.18,6.18,27623.0
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,0.66,11.3,0.81,1231.0
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,0.72,23.14,0.93,36061.0
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,0.72,12.33,0.88,39475.0
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,0.74,7.68,7.68,39116.0
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,0.75,12.14,0.87,15866.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,0.77,6.07,1.52,24101.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,0.78,15.29,0.8,18792.0
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,0.79,5.14,5.14,38995.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,0.8,14.41,1.03,41553.0
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,0.89,11.77,0.91,20284.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,0.92,13.38,0.96,10611.0
