month,transaction_type,num_transactions,total_amount_inr,avg_amount_inr
2024-01,Lumpsum,964,243800603.0,252905.0
2024-01,Redemption,625,154774379.0,247639.0
2024-01,SIP,2380,25717494.0,10806.0
2024-02,Lumpsum,884,218141587.0,246767.0
2024-02,Redemption,536,134693897.0,251295.0
2024-02,SIP,2195,23977298.0,10924.0
2024-03,Lumpsum,964,252845781.0,262288.0
2024-03,Redemption,610,154737342.0,253668.0
2024-03,SIP,2373,25537773.0,10762.0
2024-04,Lumpsum,957,247116710.0,258220.0
2024-04,Redemption,582,143800649.0,247080.0
2024-04,SIP,2272,25644386.0,11287.0
2024-05,Lumpsum,912,234743044.0,257394.0
2024-05,Redemption,595,146846063.0,246800.0
2024-05,SIP,2356,27191617.0,11541.0
2024-06,Lumpsum,494,124985567.0,253007.0
2024-06,Redemption,340,84148612.0,247496.0
2024-06,SIP,1155,13131150.0,11369.0
2024-07,Lumpsum,465,117142475.0,251919.0
2024-07,Redemption,268,67075667.0,250282.0
2024-07,SIP,1235,13513884.0,10942.0
2024-08,Lumpsum,511,134046496.0,262322.0
2024-08,Redemption,320,81237196.0,253866.0
2024-08,SIP,1154,12521433.0,10850.0
2024-09,Lumpsum,447,113775104.0,254530.0
2024-09,Redemption,244,62497934.0,256139.0
2024-09,SIP,1142,12288778.0,10761.0
2024-10,Lumpsum,503,127248200.0,252979.0
2024-10,Redemption,287,73935279.0,257614.0
2024-10,SIP,1167,12467875.0,10684.0
2024-11,Lumpsum,473,114654989.0,242400.0
2024-11,Redemption,282,69953828.0,248063.0
2024-11,SIP,1108,12321673.0,11121.0
2024-12,Lumpsum,521,131320892.0,252055.0
2024-12,Redemption,278,70824645.0,254765.0
2024-12,SIP,1179,12920130.0,10959.0
