amfi_code,scheme_name,fund_house,sub_category,return_3yr_pct,benchmark_3yr_pct,outperformance_pct,alpha,alpha_category,morningstar_rating
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,5.39,1.98,1.98,Excellent (>1.5),3
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,16.32,1.91,1.91,Excellent (>1.5),4
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,5.83,1.85,1.85,Excellent (>1.5),5
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,13.8,1.85,1.85,Excellent (>1.5),5
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,20.54,1.84,1.84,Excellent (>1.5),5
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,12.82,11.0,1.82,1.82,Excellent (>1.5),5
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,11.77,9.97,1.8,1.8,Excellent (>1.5),5
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,15.34,13.55,1.79,1.79,Excellent (>1.5),5
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,11.3,9.52,1.78,1.78,Excellent (>1.5),3
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,12.33,10.63,1.7,1.7,Excellent (>1.5),3
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,14.56,12.86,1.7,1.7,Excellent (>1.5),5
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,13.19,1.62,1.62,Excellent (>1.5),5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,6.07,4.47,1.6,1.6,Excellent (>1.5),5
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,6.18,4.66,1.52,1.52,Excellent (>1.5),3
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,12.14,10.71,1.43,1.43,Good (1-1.5),4
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,15.18,13.76,1.42,1.42,Good (1-1.5),5
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,11.84,10.43,1.41,1.41,Good (1-1.5),4
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,13.78,12.44,1.34,1.34,Good (1-1.5),5
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,12.25,10.98,1.27,1.27,Good (1-1.5),3
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,22.16,1.23,1.23,Good (1-1.5),5
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,5.14,3.96,1.18,1.18,Good (1-1.5),5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,22.01,1.13,1.13,Good (1-1.5),4
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,13.38,12.25,1.13,1.13,Good (1-1.5),4
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,15.61,14.49,1.12,1.12,Good (1-1.5),5
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,17.16,16.14,1.02,1.02,Good (1-1.5),4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,16.58,15.63,0.95,0.95,Medium (0.5-1),5
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,12.1,11.17,0.93,0.93,Medium (0.5-1),4
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,15.29,14.39,0.9,0.9,Medium (0.5-1),4
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,17.19,0.89,0.89,Medium (0.5-1),3
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,5.31,4.42,0.89,0.89,Medium (0.5-1),4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,13.53,0.88,0.88,Medium (0.5-1),3
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,12.36,11.49,0.87,0.87,Medium (0.5-1),4
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,14.0,13.14,0.86,0.86,Medium (0.5-1),4
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,20.15,19.35,0.8,0.8,Medium (0.5-1),4
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,14.84,14.06,0.78,0.78,Medium (0.5-1),5
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,20.08,19.39,0.69,0.69,Medium (0.5-1),4
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,11.54,10.88,0.66,0.66,Medium (0.5-1),4
